prefecture,election_name,election_date,vote_date,vote_rate,constituency_candidate_number,announce_date,last_vote_rate,reason_point,winner_name,url,winner_name_kana,winner_age_sex,winner_info,winner_job,affiliation,winner_votes
福島県,"
                  白河市長選挙
                                    

                                    （2019年07月07日投票）
                                    
","
                                    （2019年07月07日投票）
",2019年07月07日,"
                                                    59.27%
                            ( ↓ )
",1 /  2,2019年06月30日,"63.6％
                                                    
選挙公報

","
                      任期満了
                      
","
																鈴木 和夫スズキ カズオ
",https://go2senkyo.com/seijika/6126,スズキ カズオ,69歳  (男),現職,市長,無所属,"
25,226 票
"
千葉県,"
                  勝浦市長選挙
                                    

                                    （2019年07月07日投票）
                                    
","
                                    （2019年07月07日投票）
",2019年07月07日,"
                                                    61.65%
                            
",1 /  2,2019年06月30日,"-％
                                                    
選挙公報

","
                      任期満了
                      
","
																つちや 元ツチヤ ハジメ
",https://go2senkyo.com/seijika/37800,ツチヤ ハジメ,70歳  (男),新人,元市議,無所属,"
5,349 票
"
千葉県,"
                  御宿町長選挙
                                    

                                    （2019年07月07日投票）
                                    
","
                                    （2019年07月07日投票）
",2019年07月07日,"
                                                    64.46%
                            
",1 /  2,2019年07月02日,"-％
                                                    
選挙公報

","
                      辞職
                      
","
																石田 よしひろイシダ ヨシヒロ
",https://go2senkyo.com/seijika/23204,イシダ ヨシヒロ,71歳  (男),元職,無職,無所属,"
2,684.084 票
"
鹿児島県,"
                  徳之島町長選挙
                                    

                                    （2019年07月07日投票）
                                    
","
                                    （2019年07月07日投票）
",2019年07月07日,"
                                                    無投票
                            
",1 /  1,2019年07月02日,"-％
","
                      任期満了
                      
","
																高岡 秀規タカオカ ヒデキ
",https://go2senkyo.com/seijika/5484,タカオカ ヒデキ,59歳  (男),現職,町長,無所属,"
- 票
"
福島県,"
                  白河市議会議員選挙
                                    

                                    （2019年07月07日投票）
                                    
","
                                    （2019年07月07日投票）
",2019年07月07日,"
                                                    59.27%
                            ( ↓ )
",24 /  29,2019年06月30日,"63.59％
                                                    
選挙公報

","
                      任期満了
                      
","
																水野谷 正則ミズノヤ マサノリ
",https://go2senkyo.com/seijika/27649,ミズノヤ マサノリ,55歳  (男),現職,会社役員,無所属,"
1,852.963 票
"
山形県,"
                  尾花沢市議会議員選挙
                                    

                                    （2019年07月07日投票）
                                    
","
                                    （2019年07月07日投票）
",2019年07月07日,"
                                                    76.25%
                            ( ↓ )
",14 /  16,2019年06月30日,"78.31％
","
                      任期満了
                      
","
																菅野 しゅういちスガノ シュウイチ
",https://go2senkyo.com/seijika/5231,スガノ シュウイチ,68歳  (男),現職,農業,自由民主党,"
1,475.283 票
"
青森県,"
                  平川市議会議員選挙
                                    

                                    （2019年07月07日投票）
                                    
","
                                    （2019年07月07日投票）
",2019年07月07日,"
                                                    63.41%
                            ( ↑ )
",16 /  19,2019年06月30日,"63.1％
                                                    
選挙公報

","
                      任期満了
                      
","
																工藤 たかひろクドウ タカヒロ
",https://go2senkyo.com/seijika/161382,クドウ タカヒロ,35歳  (男),現職,無職,無所属,"
1,476.930 票
"
神奈川県,"
                  厚木市議会議員選挙
                                    

                                    （2019年07月07日投票）
                                    
","
                                    （2019年07月07日投票）
",2019年07月07日,"
                                                    38.46%
                            ( ↓ )
",28 /  31,2019年06月30日,"42.86％
                                                    
選挙公報

","
                      任期満了
                      
","
																なんば たつやナンバ タツヤ
",https://go2senkyo.com/seijika/27591,ナンバ タツヤ,46歳  (男),現職,厚木市議会議員,自由民主党,"
4,390.690 票
"
福岡県,"
                  みやま市議会議員選挙
                                    

                                    （2019年07月07日投票）
                                    
","
                                    （2019年07月07日投票）
",2019年07月07日,"
                                                    59.06%
                            ( ↓ )
",16 /  17,2019年06月30日,"64.64％
                                                    
選挙公報

","
                      任期満了
                      
","
																森 ひろこモリ ヒロコ
",https://go2senkyo.com/seijika/178736,モリ ヒロコ,56歳  (女),新人,会社役員,無所属,"
1,571 票
"
,,,2019年07月21日,"48.8％
                                            (↓)
",- /  370,2019年07月04日,"
                                    54.7％
                
","
                    任期満了
",,,,,,,,
埼玉県,"
                  狭山市長選挙
                                    

                                    （2019年07月21日投票）
                                    
","
                                    （2019年07月21日投票）
",2019年07月21日,"
                                                    50.08%
                            ( ↑ )
",1 /  2,2019年07月14日,"42.53％
                                                    
選挙公報

","
                      任期満了
                      
","
																小谷野 剛コヤノ ツヨシ
",https://go2senkyo.com/seijika/2695,コヤノ ツヨシ,46歳  (男),現職,,無所属,"
36,812 票
"
群馬県,"
                  群馬県知事選挙
                                    

                                    （2019年07月21日投票）
                                    
","
                                    （2019年07月21日投票）
",2019年07月21日,"
                                                    48.51%
                            ( ↑ )
",1 /  2,2019年07月04日,"31.36％
                                                    
選挙公報

","
                      任期満了
                      
","
																山本 一太ヤマモト イチタ
",https://go2senkyo.com/seijika/65172,ヤマモト イチタ,61歳  (男),新人,元参議院議員,無所属,"
576,935 票
"
福島県,"
                  平田村長選挙
                                    

                                    （2019年07月21日投票）
                                    
","
                                    （2019年07月21日投票）
",2019年07月21日,"
                                                    82.08%
                            
",1 /  2,2019年07月16日,"-％
","
                      任期満了
                      
","
																沢村 かずあきサワムラ カズアキ
",https://go2senkyo.com/seijika/27711,サワムラ カズアキ,72歳  (男),現職,村長,無所属,"
2,213 票
"
