prefecture,election_name,election_date,vote_date,vote_rate,constituency_candidate_number,announce_date,last_vote_rate,reason_point,winner_name,url,winner_name_kana,winner_age_sex,winner_info,winner_job,affiliation,winner_votes
東京都,"
                  あきる野市長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    41.78%
                            ( ↓ )
",1 /  2,2019年09月29日,"44.42％
                                                    
選挙公報

","
                      任期満了
                      
","
																村木 ひでゆきムラキ ヒデユキ
",https://go2senkyo.com/seijika/34178,ムラキ ヒデユキ,62歳  (男),新人,社会福祉法人理事長,無所属,"
13,786 票
"
愛知県,"
                  豊川市長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    33%
                            ( ↓ )
",1 /  2,2019年09月29日,"37.24％
                                                    
選挙公報

","
                      任期満了
                      
","
																竹本 ゆきおタケモト ユキオ
",https://go2senkyo.com/seijika/179195,タケモト ユキオ,65歳  (男),新人,無職,無所属,"
35,620 票
"
岡山県,"
                  総社市長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    無投票
                            
",1 /  1,2019年09月29日,"55.28％
","
                      任期満了
                      
","
																片岡 聡一カタオカ ソウイチ
",https://go2senkyo.com/seijika/117947,カタオカ ソウイチ,60歳  (男),現職,市長,無所属,"
- 票
"
埼玉県,"
                  幸手市長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    46.01%
                            ( ↑ )
",1 /  2,2019年09月29日,"44.61％
                                                    
選挙公報

","
                      辞職
                      /渡辺邦夫氏の辞職による
","
																木村 すみおキムラ スミオ
",https://go2senkyo.com/seijika/162282,キムラ スミオ,68歳  (男),新人,無職,無所属,"
10,000 票
"
北海道,"
                  浜中町長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    無投票
                            
",1 /  1,2019年10月01日,"-％
","
                      任期満了
                      
","
																松本 ひろしマツモト ヒロシ
",https://go2senkyo.com/seijika/131346,マツモト ヒロシ,69歳  (男),現職,浜中町長,無所属,"
- 票
"
青森県,"
                  野辺地町長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    69.12%
                            
",1 /  2,2019年10月01日,"-％
","
                                                  11,457人
                                                                          
男性
                                                      0人
                                                    女性
                                                      0人
                                                    

","
																野村 秀雄ノムラ ヒデオ
",https://go2senkyo.com/seijika/17869,ノムラ ヒデオ,56歳  (男),新人,元町議会議員,無所属,"
4,894 票
"
東京都,"
                  御蔵島村長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    無投票
                            
",1 /  1,2019年10月01日,"-％
","
                      任期満了
                      
","
																広瀬 久雄ヒロセ ヒサオ
",https://go2senkyo.com/seijika/125030,ヒロセ ヒサオ,71歳  (男),現職,村長,無所属,"
- 票
"
徳島県,"
                  佐那河内村長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    無投票
                            
",1 /  1,2019年10月01日,"90.44％
","
                      任期満了
                      
","
																岩城 福治イワキ ヨシジ
",https://go2senkyo.com/seijika/162340,イワキ ヨシジ,62歳  (男),現職,佐那河内村長,無所属,"
- 票
"
熊本県,"
                  五木村長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    無投票
                            
",1 /  1,2019年10月01日,"-％
","
                      任期満了
                      
","
																木下 丈二キノシタ ジョウジ
",https://go2senkyo.com/seijika/131883,キノシタ ジョウジ,60歳  (男),新人,元副村長,無所属,"
- 票
"
青森県,"
                  藤崎町長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    無投票
                            
",1 /  1,2019年10月01日,"-％
","
                      任期満了
                      
","
																平田 博幸ヒラタ ヒロユキ
",https://go2senkyo.com/seijika/16404,ヒラタ ヒロユキ,62歳  (男),現職,藤崎町長,62歳  (男) 現職,"
- 票
"
埼玉県,"
                  所沢市長選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    31.99%
                            ( ↓ )
",1 /  2,2019年09月29日,"37.29％
                                                    
選挙公報

","
                                                  286,373人
                                                                          
男性
                                                      0人
                                                    女性
                                                      0人
                                                    

","
																藤本 正人フジモト マサト
",https://go2senkyo.com/seijika/74948,フジモト マサト,57歳  (男),現職,所沢市長,無所属,"
53,812 票
"
北海道,"
                  浜中町議会議員補欠選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    無投票
                            
",2 /  2,2019年10月01日,"-％
","
                      その他
                      /2019年4月の統一地方選の際、立候補者が定数より2人も少ない「欠員無投票」だったため、補充のため補欠選挙を執行
","
																落合 俊雄オチアイ トシオ
",https://go2senkyo.com/seijika/17658,オチアイ トシオ,66歳  (男),元職,酪農業,無所属,"
- 票
"
青森県,"
                  むつ市議会議員選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    57.37%
                            ( ↓ )
",22 /  25,2019年09月29日,"62.6％
                                                    
選挙公報

","
                      任期満了
                      
","
																浅利 竹二郎アサリ タケジロウ
",https://go2senkyo.com/seijika/22446,アサリ タケジロウ,76歳  (男),現職,無職,自由民主党,"
1,899 票
"
滋賀県,"
                  守山市議会議員選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    45.94%
                            ( ↓ )
",20 /  23,2019年09月29日,"55.55％
                                                    
選挙公報

","
                      任期満了
                      
","
																川本 航平カワモト コウヘイ
",https://go2senkyo.com/seijika/179357,カワモト コウヘイ,33歳  (男),新人,学び舎モンド代表,無所属,"
2,440 票
"
神奈川県,"
                  愛川町議会議員選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    43.54%
                            ( ↓ )
",16 /  19,2019年10月01日,"49.52％
                                                    
選挙公報

","
                      任期満了
                      
","
																佐藤 りえサトウ リエ
",https://go2senkyo.com/seijika/124267,サトウ リエ,61歳  (女),現職,町議会議員,公明党,"
1,205.481 票
"
徳島県,"
                  板野町議会議員選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    64.55%
                            ( ↑ )
",13 /  15,2019年10月01日,"40.68％
","
                                                  11,407人
                                                                          
男性
                                                      0人
                                                    女性
                                                      0人
                                                    

","
																根ヶ山 昇ネガヤマ ノボル
",https://go2senkyo.com/seijika/179366,ネガヤマ ノボル,65歳  (男),新人,無職,無所属,"
753 票
"
青森県,"
                  藤崎町議会議員選挙
                                    

                                    （2019年10月06日投票）
                                    
","
                                    （2019年10月06日投票）
",2019年10月06日,"
                                                    無投票
                            
",14 /  14,2019年10月01日,"63.89％
","
                      任期満了
                      
","
																野呂 日出男ノロ ヒデオ
",https://go2senkyo.com/seijika/16397,ノロ ヒデオ,80歳  (男),現職,農業,無所属,"
- 票
"
北海道,"
                  寿都町議会議員選挙
                                    

                                    （2019年10月08日投票）
                                    
","
                                    （2019年10月08日投票）
",2019年10月08日,"
                                                    79.78%
                            ( ↑ )
",9 /  10,2019年10月03日,"75.14％
","
                                                  2,537人
                                                                          
男性
                                                      0人
                                                    女性
                                                      0人
                                                    

","
																こにし 正尚コニシ マサナオ
",https://go2senkyo.com/seijika/118118,コニシ マサナオ,64歳  (男),元職,漁業,無所属,"
297 票
"
高知県,"
                  南国市議会議員選挙
                                    

                                    （2019年10月13日投票）
                                    
","
                                    （2019年10月13日投票）
",2019年10月13日,"
                                                    43.17%
                            ( ↓ )
",21 /  24,2019年10月06日,"50.96％
                                                    
選挙公報

","
                      任期満了
                      
","
																浜田 かずこハマダ カズコ
",https://go2senkyo.com/seijika/48945,ハマダ カズコ,71歳  (女),現職,無職,公明党,"
1,024.373 票
"
北海道,"
                  黒松内町議会議員選挙
                                    

                                    （2019年10月16日投票）
                                    
","
                                    （2019年10月16日投票）
",2019年10月16日,"
                                                    無投票
                            
",9 /  9,2019年10月11日,"43.45％
","
                      任期満了
                      
","
																菅 一スガ ハジメ
",https://go2senkyo.com/seijika/124649,スガ ハジメ,65歳  (男),現職,団体職員,日本共産党,"
- 票
"
高知県,"
                  土佐市長選挙
                                    

                                    （2019年10月20日投票）
                                    
","
                                    （2019年10月20日投票）
",2019年10月20日,"
                                                    無投票
                            
",1 /  1,2019年10月13日,"-％
","
                      任期満了
                      
","
																板原 啓文イタハラ よしふみ
",https://go2senkyo.com/seijika/131012,イタハラ よしふみ,64歳  (男),現職,土佐市長,無所属,"
- 票
"
愛知県,"
                  蒲郡市長選挙
                                    

                                    （2019年10月20日投票）
                                    
","
                                    （2019年10月20日投票）
",2019年10月20日,"
                                                    35.52%
                            
",1 /  2,2019年10月13日,"-％
                                                    
選挙公報

","
                      任期満了
                      
","
																鈴木 ひさあきスズキ ヒサアキ
",https://go2senkyo.com/seijika/179239,スズキ ヒサアキ,57歳  (男),新人,会社員,無所属,"
19,827 票
"
京都府,"
                  亀岡市長選挙
                                    

                                    （2019年10月20日投票）
                                    
","
                                    （2019年10月20日投票）
",2019年10月20日,"
                                                    36.12%
                            ( ↓ )
",1 /  2,2019年10月13日,"44.45％
","
                                                  73,425人
                                                      
                              前回より +459人
                            

男性
                                                      0人
                                                    女性
                                                      0人
                                                    

","
																桂川 たかひろカツラガワ タカヒロ
",https://go2senkyo.com/seijika/75240,カツラガワ タカヒロ,56歳  (男),現職,亀岡市長,無所属,"
18,167 票
"
広島県,"
                  廿日市市長選挙
                                    

                                    （2019年10月20日投票）
                                    
","
                                    （2019年10月20日投票）
",2019年10月20日,"
                                                    44.66%
                            ( ↓ )
",1 /  2,2019年10月13日,"48.7％
                                                    
選挙公報

","
                      任期満了
                      
","
																松本 たろうマツモト タロウ
",https://go2senkyo.com/seijika/60236,マツモト タロウ,50歳  (男),新人,ＮＰＯ法人ひろしま創発塾理事　元廿日市市議会議員,無所属,"
21,896 票
"
大分県,"
                  中津市長選挙
                                    

                                    （2019年10月20日投票）
                                    
","
                                    （2019年10月20日投票）
",2019年10月20日,"
                                                    無投票
                            
",1 /  1,2019年10月13日,"-％
","
                      任期満了
                      
","
																奥塚 正典オクヅカ マサノリ
",https://go2senkyo.com/seijika/162410,オクヅカ マサノリ,65歳  (男),現職,中津市市長,無所属,"
- 票
"
京都府,"
                  精華町長選挙
                                    

                                    （2019年10月20日投票）
                                    
","
                                    （2019年10月20日投票）
",2019年10月20日,"
                                                    41.19%
                            ( ↓ )
",1 /  3,2019年10月15日,"43.16％
                                                    
選挙公報

","
                      任期満了
                      
","
																杉浦 まさみスギウラ マサミ
",https://go2senkyo.com/seijika/34676,スギウラ マサミ,71歳  (男),新人,農業　元町議会議長,無所属,"
6,434 票
"
北海道,"
                  白老町長選挙
                                    

                                    （2019年10月20日投票）
                                    
","
                                    （2019年10月20日投票）
",2019年10月20日,"
                                                    無投票
                            
",1 /  1,2019年10月15日,"-％
","
                      任期満了
                      
","
																戸田 安彦トダ ヤスヒコ
",https://go2senkyo.com/seijika/162138,トダ ヤスヒコ,50歳  (男),現職,白老町長,無所属,"
- 票
"
青森県,"
                  平内町長選挙
                                    

                                    （2019年10月20日投票）
                                    
","
                                    （2019年10月20日投票）
",2019年10月20日,"
                                                    無投票
                            
",1 /  1,2019年10月15日,"-％
","
                      任期満了
                      
","
																船橋 茂久フナハシ シゲヒサ
",https://go2senkyo.com/seijika/131443,フナハシ シゲヒサ,70歳  (男),現職,平内町長,無所属,"
- 票
"
長崎県,"
                  時津町長選挙
                                    

                                    （2019年10月20日投票）
                                    
","
                                    （2019年10月20日投票）
",2019年10月20日,"
                                                    無投票
                            
",1 /  1,2019年10月15日,"-％
                                                    
選挙公報

","
                      任期満了
                      
","
																吉田 義德ヨシダ ヨシノリ
",https://go2senkyo.com/seijika/131444,ヨシダ ヨシノリ,72歳  (男),現職,町長,無所属,"
- 票
"
