prefecture,election_name,election_date,vote_date,vote_rate,constituency_candidate_number,announce_date,last_vote_rate,reason_point,winner_name,url,winner_name_kana,winner_age_sex,winner_info,winner_job,affiliation,winner_votes
埼玉県,"
                  蕨市長選挙
                                    

                                    （2019年06月02日投票）
                                    
","
                                    （2019年06月02日投票）
",2019年06月02日,"
                                                    47.85%
                            
",1 /  2,2019年05月26日,"-％
","
                      任期満了
                      
","
																よりたか 英雄ヨリタカ ヒデオ
",https://go2senkyo.com/seijika/4608,ヨリタカ ヒデオ,55歳  (男),現職,蕨市長,無所属,"
16,989 票
"
青森県,"
                  青森県知事選挙
                                    

                                    （2019年06月02日投票）
                                    
","
                                    （2019年06月02日投票）
",2019年06月02日,"
                                                    40.08%
                            ( ↓ )
",1 /  2,2019年05月16日,"43.85％
","
                      任期満了
                      
","
																三村 申吾ミムラ シンゴ
",https://go2senkyo.com/seijika/1100,ミムラ シンゴ,63歳  (男),現職,青森県知事,無所属,"
329,048 票
"
青森県,"
                  三沢市長選挙
                                    

                                    （2019年06月02日投票）
                                    
","
                                    （2019年06月02日投票）
",2019年06月02日,"
                                                    69.09%
                            ( ↓ )
",1 /  2,2019年05月26日,"72.18％
","
                                                  32,029人
                                                      
                              前回より +130人
                            

男性
                                                      0人
                                                    女性
                                                      0人
                                                    

","
																小桧山 よしのりコヒヤマ ヨシノリ
",https://go2senkyo.com/seijika/74742,コヒヤマ ヨシノリ,69歳  (男),新人,社会福祉法人理事長,無所属,"
12,060 票
"
千葉県,"
                  市原市長選挙
                                    

                                    （2019年06月02日投票）
                                    
","
                                    （2019年06月02日投票）
",2019年06月02日,"
                                                    無投票
                            
",1 /  1,2019年05月26日,"50.81％
","
                      任期満了
                      
","
																小出 じょうじコイデ ジョウジ
",https://go2senkyo.com/seijika/2432,コイデ ジョウジ,58歳  (男),現職,市長,無所属,"
- 票
"
茨城県,"
                  北茨城市長選挙
                                    

                                    （2019年06月02日投票）
                                    
","
                                    （2019年06月02日投票）
",2019年06月02日,"
                                                    53.04%
                            ( ↓ )
",1 /  2,2019年05月26日,"56.35％
","
                      任期満了
                      
","
																豊田 みのるトヨダ ミノル
",https://go2senkyo.com/seijika/5098,トヨダ ミノル,74歳  (男),現職,北茨城市長,無所属,"
10,486 票
"
青森県,"
                  五戸町長選挙
                                    

                                    （2019年06月02日投票）
                                    
","
                                    （2019年06月02日投票）
",2019年06月02日,"
                                                    65.07%
                            ( ↓ )
",1 /  2,2019年05月28日,"69.68％
","
                      任期満了
                      
","
																若宮 佳一ワカミヤ ケイイチ
",https://go2senkyo.com/seijika/36763,ワカミヤ ケイイチ,52歳  (男),新人,町議,無所属,"
5,592 票
"
長崎県,"
                  島原市議会議員選挙
                                    

                                    （2019年06月02日投票）
                                    
","
                                    （2019年06月02日投票）
",2019年06月02日,"
                                                    62.26%
                            ( ↓ )
",19 /  21,2019年05月26日,"66.54％
","
                                                  37,223人
                                                                          
男性
                                                      0人
                                                    女性
                                                      0人
                                                    

","
																くすのき 晋典クスノキ シンスケ
",https://go2senkyo.com/seijika/159978,クスノキ シンスケ,43歳  (男),現職,無職,無所属,"
1,926 票
"
埼玉県,"
                  蕨市議会議員選挙
                                    

                                    （2019年06月02日投票）
                                    
","
                                    （2019年06月02日投票）
",2019年06月02日,"
                                                    47.85%
                            ( ↑ )
",18 /  20,2019年05月26日,"44.45％
","
                      任期満了
                      
","
																池上 ともやすイケガミ トモヤス
",https://go2senkyo.com/seijika/4621,イケガミ トモヤス,63歳  (男),現職,会社役員,無所属,"
1,968 票
"
千葉県,"
                  市原市議会議員選挙
                                    

                                    （2019年06月02日投票）
                                    
","
                                    （2019年06月02日投票）
",2019年06月02日,"
                                                    41.59%
                            ( ↓ )
",32 /  38,2019年05月26日,"50.81％
","
                      任期満了
                      
","
																鈴木 ともなりスズキ トモナリ
",https://go2senkyo.com/seijika/2427,スズキ トモナリ,43歳  (男),現職,,自由民主党,"
4,171 票
"
福島県,"
                  国見町議会議員選挙
                                    

                                    （2019年06月02日投票）
                                    
","
                                    （2019年06月02日投票）
",2019年06月02日,"
                                                    無投票
                            
",10 /  10,2019年05月28日,"73.2％
","
                      任期満了
                      
","
																村上 一ムラカミ ハシメ
",https://go2senkyo.com/seijika/160551,ムラカミ ハシメ,70歳  (男),新人,町議会議員,無所属,"
- 票
"
