prefecture,election_name,election_date,vote_date,vote_rate,constituency_candidate_number,announce_date,last_vote_rate,reason_point,winner_name,url,winner_name_kana,winner_age_sex,winner_info,winner_job,affiliation,winner_votes
宮城県,"
                  塩竈市長選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    54.82%
                            ( ↑ )
",1 /  3,2019年08月25日,"52.36％
                                                    
選挙公報

","
                      任期満了
                      
","
																佐藤 こうきサトウ コウキ
",https://go2senkyo.com/seijika/72615,サトウ コウキ,51歳  (男),新人,団体役員,無所属,"
13,028.042 票
"
宮城県,"
                  七ヶ浜町長選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    無投票
                            
",1 /  1,2019年08月27日,"-％
","
                      任期満了
                      
","
																寺沢 かおるテラサワ カオル
",https://go2senkyo.com/seijika/161923,テラサワ カオル,64歳  (男),現職,七ヶ浜町長,無所属,"
- 票
"
宮城県,"
                  松島町長選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    64.53%
                            ( ↑ )
",1 /  2,2019年08月27日,"61.19％
","
                      任期満了
                      
","
																桜井 公一サクライ コウイチ
",https://go2senkyo.com/seijika/1146,サクライ コウイチ,69歳  (男),現職,町長,無所属,"
4,846 票
"
福島県,"
                  天栄村長選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    無投票
                            
",1 /  1,2019年08月27日,"-％
","
                      任期満了
                      
","
																そえた 勝幸ソエタ カツユキ
",https://go2senkyo.com/seijika/7068,ソエタ カツユキ,57歳  (男),現職,村長,無所属,"
- 票
"
山形県,"
                  酒田市長選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    57.64%
                            ( ↓ )
",1 /  2,2019年08月25日,"59.57％
                                                    
選挙公報

","
                      任期満了
                      
","
																丸山 いたるマルヤマ イタル
",https://go2senkyo.com/seijika/161836,マルヤマ イタル,65歳  (男),現職,市長,無所属,"
27,246 票
"
東京都,"
                  立川市長選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    34.74%
                            ( ↑ )
",1 /  2,2019年08月25日,"29.2％
                                                    
選挙公報

","
                      任期満了
                      
","
																清水 庄平シミズ ショウヘイ
",https://go2senkyo.com/seijika/4675,シミズ ショウヘイ,74歳  (男),現職,立川市長,無所属,"
26,097 票
"
神奈川県,"
                  寒川町長選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    26.75%
                            ( ↓ )
",1 /  2,2019年08月27日,"30.16％
                                                    
選挙公報

","
                      任期満了
                      
","
																木村 としおキムラ トシオ
",https://go2senkyo.com/seijika/6829,キムラ トシオ,69歳  (男),現職,寒川町長,無所属,"
7,263 票
"
大阪府,"
                  枚方市長選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    36.9%
                            
",1 /  2,2019年08月25日,"-％
                                                    
選挙公報

","
                      任期満了
                      
","
																伏見 たかしフシミ タカシ
",https://go2senkyo.com/seijika/36075,フシミ タカシ,51歳  (男),現職,枚方市長,大阪維新の会,"
69,620 票
"
宮崎県,"
                  都農町長選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    74.1%
                            
",1 /  2,2019年08月27日,"-％
","
                      任期満了
                      
","
																河野 正和カワノ マサカズ
",https://go2senkyo.com/seijika/55905,カワノ マサカズ,60歳  (男),現職,町長,無所属,"
3,591 票
"
群馬県,"
                  下仁田町議会議員選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    74.37%
                            ( ↓ )
",12 /  14,2019年08月27日,"76.62％
","
                      任期満了
                      
","
																堀口 博志ホリグチ ヒロシ
",https://go2senkyo.com/seijika/5797,ホリグチ ヒロシ,64歳  (男),現職,農業,無所属,"
755.680 票
"
宮城県,"
                  塩竈市議会議員選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    -%
                            
",18 /  20,2019年08月25日,"52.37％
                                                    
選挙公報

","
                      任期満了
                      
","
																あべ まさきアベ マサキ
",https://go2senkyo.com/seijika/135914,アベ マサキ,33歳  (男),現職,塩釜市議会議員,無所属,"
1,910.850 票
"
宮城県,"
                  多賀城市議会議員選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    無投票
                            
",18 /  18,2019年08月25日,"43.91％
","
                      任期満了
                      
","
																まさうら 泰已マサウラ ヤスミ
",https://go2senkyo.com/seijika/23511,マサウラ ヤスミ,65歳  (男),現職,,無所属,"
- 票
"
宮城県,"
                  利府町議会議員選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    38.71%
                            ( ↓ )
",18 /  19,2019年08月27日,"43.3％
","
                      任期満了
                      
","
																羽川 喜冨ハガワ ヨシトミ
",https://go2senkyo.com/seijika/23594,ハガワ ヨシトミ,58歳  (男),元職,無職,無所属,"
1,289 票
"
宮城県,"
                  七ヶ浜町議会議員選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    無投票
                            
",14 /  14,2019年08月27日,"57.95％
","
                      任期満了
                      
","
																渡辺 あつしワタナベ アツシ
",https://go2senkyo.com/seijika/160931,ワタナベ アツシ,63歳  (男),現職,,無所属,"
- 票
"
栃木県,"
                  鹿沼市議会議員選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    51.76%
                            ( ↓ )
",24 /  27,2019年08月25日,"55.26％
                                                    
選挙公報

","
                      任期満了
                      
","
																佐々木 りかササキ リカ
",https://go2senkyo.com/seijika/165801,ササキ リカ,52歳  (女),新人,大学非常勤講師,立憲民主党,"
2,729 票
"
山形県,"
                  酒田市議会議員補欠選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    57.59%
                            ( ↓ )
",2 /  4,2019年08月25日,"59.27％
                                                    
選挙公報

","
                      その他
                      /阿部ひとみ氏、梶原宗明氏の県議選出馬による辞職のため
","
																あべ ひでのりアベ ヒデノリ
",https://go2senkyo.com/seijika/179115,アベ ヒデノリ,57歳  (男),新人,無職,無所属,"
15,486 票
"
神奈川県,"
                  寒川町議会議員補欠選挙
                                    

                                    （2019年09月01日投票）
                                    
","
                                    （2019年09月01日投票）
",2019年09月01日,"
                                                    26.75%
                            ( ↓ )
",1 /  4,2019年08月27日,"41.92％
                                                    
選挙公報

","
                      辞職
                      /斎藤恒雄氏の辞職による
","
																柳田 遊ヤナギダ ユウ
",https://go2senkyo.com/seijika/164349,ヤナギダ ユウ,36歳  (男),新人,会社員,無所属,"
3,390 票
"
岩手県,"
                  岩手県知事選挙
                                    

                                    （2019年09月08日投票）
                                    
","
                                    （2019年09月08日投票）
",2019年09月08日,"
                                                    53.46%
                            
",1 /  2,2019年08月22日,"-％
","
                      任期満了
                      
","
																たっそ 拓也タッソ タクヤ
",https://go2senkyo.com/seijika/18033,タッソ タクヤ,55歳  (男),現職,岩手県知事,無所属,"
402,803 票
"
三重県,"
                  松阪市長選挙
                                    

                                    （2019年09月08日投票）
                                    
","
                                    （2019年09月08日投票）
",2019年09月08日,"
                                                    38.28%
                            ( ↓ )
",1 /  2,2019年09月01日,"52.65％
                                                    
選挙公報

","
                      任期満了
                      
","
																竹上 まさとタケガミ マサト
",https://go2senkyo.com/seijika/75290,タケガミ マサト,56歳  (男),現職,松阪市長,無所属,"
35,791 票
"
福島県,"
                  三春町長選挙
                                    

                                    （2019年09月08日投票）
                                    
","
                                    （2019年09月08日投票）
",2019年09月08日,"
                                                    60.33%
                            ( ↓ )
",1 /  2,2019年09月03日,"67.6％
","
                      任期満了
                      
","
																坂本 ひろゆきサカモト ヒロユキ
",https://go2senkyo.com/seijika/179170,サカモト ヒロユキ,63歳  (男),新人,無職,無所属,"
4,920 票
"
山口県,"
                  上関町長選挙
                                    

                                    （2019年09月08日投票）
                                    
","
                                    （2019年09月08日投票）
",2019年09月08日,"
                                                    無投票
                            
",1 /  1,2019年09月03日,"-％
","
                      任期満了
                      
","
																柏原 しげみカシワバラ シゲミ
",https://go2senkyo.com/seijika/6436,カシワバラ シゲミ,70歳  (男),現職,上関町長,無所属,"
- 票
"
北海道,"
                  北見市長選挙
                                    

                                    （2019年09月08日投票）
                                    
","
                                    （2019年09月08日投票）
",2019年09月08日,"
                                                    34.89%
                            ( ↓ )
",1 /  2,2019年09月01日,"41.73％
","
                      任期満了
                      
","
																つじ 直孝ツジ ナオタカ
",https://go2senkyo.com/seijika/162149,ツジ ナオタカ,66歳  (男),現職,北見市長,無所属,"
25,138 票
"
茨城県,"
                  牛久市長選挙
                                    

                                    （2019年09月08日投票）
                                    
","
                                    （2019年09月08日投票）
",2019年09月08日,"
                                                    37.79%
                            ( ↓ )
",1 /  2,2019年09月01日,"47.16％
","
                      任期満了
                      
","
																根本 洋治ネモト ヨウジ
",https://go2senkyo.com/seijika/26725,ネモト ヨウジ,66歳  (男),現職,市長,無所属,"
16,367 票
"
山形県,"
                  山形市長選挙
                                    

                                    （2019年09月08日投票）
                                    
","
                                    （2019年09月08日投票）
",2019年09月08日,"
                                                    39.08%
                            
",1 /  2,2019年09月01日,"-％
                                                    
選挙公報

","
                      任期満了
                      
","
																佐藤 孝弘サトウ タカヒロ
",https://go2senkyo.com/seijika/63398,サトウ タカヒロ,43歳  (男),現職,市長,無所属,"
67,908 票
"
